;Title;Author;Type;Venue;Year;;;
;Understanding Uncertainty in Self-adaptive Systems;Radu Calinescu, Raffaela Mirandola, Diego Perez-Palacin and Danny Weyns;Long paper;ACSOS;2020;;;
;ENSURE: Efficient Scheduling and Autonomous Resource Management in Serverless Environments;Amoghavarsha Suresh, Gagan Somashekar, Anandh Varadarajan, Veerendra Ramesh Kakarla, Hima Upadhyay and Anshul Gandhi;Long paper;ACSOS;2020;;;
;Reasoning about When to Provide Explanation for Human-involved Self-Adaptive Systems;"Nianyu Li, Javier Cámara, David Garlan and Bradley Schmerl
";Long paper;ACSOS;2020;;;
;PRESTO: a latency-aware power-capping orchestrator for cloud-native microservices;"Rolando Brondolin and Marco Domenico Santambrogio
";Long paper;ACSOS;2020;;;
;DeCrypto Pro: Deep Learning Based Cryptomining Malware Detection Using Performance Counters;Ganapathy Mani, Vikram Pasumarti, Bharat Bhargava, Faisal Tariq Vora, James MacDonald, Justin King and Jason Kobes;Long paper;ACSOS;2020;;;
;Learning Distributed Controllers for V-Formation;Shouvik Roy, Usama Mehmood, Radu Grosu, Scott Smolka, Scott Stoller and Ashish Tiwari;Long paper;ACSOS;2020;;;
;Hybrid Planning Using Learning and Model Checking for Autonomous Systems;"Ashutosh Pandey, Ivan Ruchkin, Bradley Schmerl and David Garlan
";Long paper;ACSOS;2020;;;
;REACT: A Model-Based Runtime Environment for Adapting Communication Systems;Martin Pfannemüller, Martin Breitbach, Christian Krupitzer, Markus Weckesser, Christian Becker, Bradley Schmerl and Andy Schürr;Long paper;ACSOS;2020;;;
;Coevolutionary Learning of Neuromodulated Controllers for Multi-Stage and Gamified Tasks;Chloe M. Barnes, Anikó Ekárt, Kai Olav Ellefsen, Kyrre Glette, Peter R. Lewis and Jim Tørresen;Long paper;ACSOS;2020;;;
;Case Study of an Automated Approach to Managing Collections of Autonomic Systems;Thomas Glazier, David Garlan and Bradley Schmerl;Long paper;ACSOS;2020;;;
;"Hierarchical Scaling of Microservices in Kubernetes ";Fabiana Rossi, Valeria Cardellini and Francesco Lo Presti;Long paper;ACSOS;2020;;;
;"A Survey of Methodology in Self-Adaptive Systems Research ";Barry Porter, Roberto Vito Rodrigues Filho and Paul Dean;Long paper;ACSOS;2020;;;
;"A self-configuring and adaptive privacy-aware permission system for Android apps ";Gian Luca Scoccia, Marco Autili and Paola Inverardi;Long paper;ACSOS;2020;;;
;"Deadlock Avoidance for Multiple Tasks in a Self-Organizing Production Cell ";Joseph Hirsch, Martin Neumayer, Hella Ponsar, Oliver Kosak and Wolfgang Reif;Long paper;ACSOS;2020;;;
;"Adaptive Trust-Aware Decentralized Information Flow Control ";Charilaos Skandylas, Narges Khakpour and Jesper Andersson;Long paper;ACSOS;2020;;;
;Collective Learning: A 10-Year Odyssey to Human-centered Distributed Intelligence;"Evangelos Pournaras
";Long paper;ACSOS;2020;;;
;A Conceptual Reference Model for Human as a Service Provider in Cyber Physical Systems;Hargyo Tri Nugroho Ignatius, Rami Bahsoo;Long paper;SEAMS;2021;;;
;Body Sensor Network: A Self-Adaptive System Exemplar in the Healthcare Domain;Eric Bernd Gil, Ricardo Caldas, Arthur Rodrigues, Gabriel Levi Gomes da Silva, Genaína Nunes Rodrigues, Patrizio Pelliccione;Artifact paper;SEAMS;2021;;;
;Decentralized Self-Adaptive Systems: A Mapping Study;Federico Quin, Danny Weyns, Omid Gheibi;Long paper;SEAMS;2021;;;
;Enhancing Human-in-the-Loop Adaptive Systems through Digital Twins and VR Interfaces;Enes Yigitbas, Kadiray Karakaya, Ivan Jovanovikj, Gregor Engels;Long paper;SEAMS;2021;;;
;Hey! Preparing Humans to do Tasks in Self-adaptive Systems;NIANYU LI, Javier Camara, David Garlan, Bradley Schmerl, Zhi Jin;Long paper;SEAMS;2021;;;
;"How do we Evaluate Self-adaptive Software Systems?
Long Paper";Ilias Gerostathopoulos, Thomas Vogel, Danny Weyns, Patricia Lago;Long paper;SEAMS;2021;;;
;"""Know What You Know"": Predicting Behavior for Learning-Enabled Systems When Facing Uncertainty";Michael Langford, Betty H.C. Cheng;Long paper;SEAMS;2021;;;
;Platooning LEGOs: An Open Physical Exemplar for Engineering Self-Adaptive Cyber-Physical Systems-of-Systems;Yong-Jun Shin, Lingjun Liu, Sangwon Hyun, Doo-Hwan Bae;Artifact paper;SEAMS;2021;;;
;RDMSim: An Exemplar for Evaluation and Comparison of Decision-Making Techniques for Self-Adaptation;Huma Samin, Cesar M. Carranza Hurtado, Luis H. Garcia Paucar, Nelly Bencomo, Erik Fredericks;Artifact paper;SEAMS;2021;;;
;ReSonAte: A Runtime Risk Assessment Framework for Autonomous Systems;Charles Hartsell, Shreyas Ramakrishna, Abhishek Dubey, Daniel Stojcsics, Nag Mahadevan, Gabor Karsai;Long paper;SEAMS;2021;;;
;RoboMAX: Robotic Mission Adaptation eXemplars;Mehrnoosh Askarpour, Christos Tsigkanos, Claudio Menghi, Radu Calinescu, Patrizio Pelliccione, Sergio Garcia, Ricardo Caldas, Tim J. von Oertzen, Manuel Wimmer, Luca Berardinelli, Matteo Rossi, Marcello M. Bersani, Gabriel S. Rodrigues;Artifact paper;SEAMS;2021;;;
;Run-time Reasoning from Uncertain Observations with Subjective Logic in Multi-Agent Self-Adaptive Cyber-Physical Systems;Ana Petrovska, Malte Neuss, Ilias Gerostathopoulos, Alexander Pretschner;Long paper;SEAMS;2021;;;
;"Self-Adaptive Manufacturing with Digital Twins
Long Paper";Manuela Dalibor, Andreas Wortmann, Bernhard Rumpe, Tim Bolender, Gereon Bürvenich;Long paper;SEAMS;2021;;;
;Self-Adaptive Microservice-based Systems - Landscape and Research Opportunities;Messias Filho, Eliaquim Barbosa Pimentel, Wellington Pereira, Paulo Maia, Mariela Inés Cortés;Long paper;SEAMS;2021;;;
;The Design Space of Emergent Scheduling for Distributed Execution Frameworks;Paul Dean, Barry Porter;Long paper;SEAMS;2021;;;
;A Platform to Enable Self-Adaptive Cloud Applications Using Trustworthiness Properties;José D'Abruzzo Pereira, Rui Silva, Nuno Antunes, Jorge Luiz Machado da Silva, Breno de França, Regina Moraes, Marco Vieira;Demo paper;SEAMS;2020;;;
;A Hybrid Approach Combining Control Theory and AI for Engineering Self-Adaptive Systems;Ricardo Caldas, Arthur Rodrigues, Eric Bernd Gil, Genaína Nunes Rodrigues, Thomas Vogel, Patrizio Pelliccione;Technical paper;SEAMS;2020;;;
;An Ontological Architecture for Principled and Automated System of Systems Composition;Abdessalam Elhabbash, Vatsala Nundloll, Yehia Elkhatib, Gordon Blair, Vicent Sanz Marco;Technical paper;SEAMS;2020;;;
;Applying Deep Learning to Reduce Large Adaptation Spaces of Self-Adaptive Systems with Multiple Types of Goals;Jeroen Van Der Donckt, Danny Weyns, Federico Quin, Jonas Van Der Donckt, Sam Michiels;Technical paper;SEAMS;2020;;;
;Collective Risk Minimization via a Bayesian Model for Statistical Software Testing;Joachim Haensel, Christian Medeiros Adriano, Johannes Dyck, Holger Giese;Technical paper;SEAMS;2020;;;
;DATESSO: Self-Adapting Service Composition with Debt-Aware Two Levels Constraint Reasoning;Satish Kumar, Tao Chen, Rami Bahsoon, Rajkumar Buyya;Technical paper;SEAMS;2020;;;
;Dynamic Adaptation of Software-defined Networks for IoT Systems: A Search-based Approach;Seung Yeob Shin, Shiva Nejati, Mehrdad Sabetzadeh, Lionel Briand, Chetan Arora, Frank Zimmer;Technical paper;SEAMS;2020;;;
;Software Architecture and Task Plan Co-Adaptation for Mobile Service Robots;Javier Camara, Bradley Schmerl, David Garlan;Technical paper;SEAMS;2020;;;
;Using Component Ensembles for Modeling Autonomic Component Collaboration in Smart Farming;Petr Hnětynka, Tomas Bures, Ilias Gerostathopoulos, Jan Pacovský;Demo paper;SEAMS;2020;;;
;All Versus One: An Empirical Comparison on Retrained and Incremental Machine Learning for Modeling Performance of Adaptable Software;Tao Chen;Long paper;SEAMS;2019;;;
;DARTSim: An Exemplar for Evaluation and Comparison of Self-Adaptation Approaches for Smart Cyber-Physical Systems;Gabriel A. Moreno, Cody Kinneer, Ashutosh Pandey, David Garlan;Artifact paper;SEAMS;2019;;;
;Defeating Denial-of-Service Attacks in a Self-Managing N-Variant System;Jessica Jones, Jason Hiser, Jack Davidson, Stephanie Forrest;Long paper;SEAMS;2019;;;
;DingNet: A Self-Adaptive Internet-of-Things Exemplar;Michiel Provoost, Danny Weyns;Artifact paper;SEAMS;2019;;;
;Dragonfly: a Tool for Simulating Self-Adaptive Drone Behaviours;Paulo Maia, Lucas Vieira, Matheus Chagas, Yijun Yu, Andrea Zisman, Bashar Nuseibeh;Artifact paper;SEAMS;2019;;;
;Efficient Analysis of Large Adaptation Spaces Self-Adaptive Systems using Machine Learning;Federico Quin, Danny Weyns, Thomas Bamelis, Sarpreet Singh Buttar, Sam Michiels;Long paper;SEAMS;2019;;;
;Inferring Analyzable Models from Trajectories of Spatially-Distributed Internet-of-Things;Christos Tsigkanos, Laura Nenzi, Michele Loreti, Martin Garriga, Schahram Dustdar, Carlo Ghezzi;Artifact paper;SEAMS;2019;;;
;Machine Learning Meets Quantitative Planning: Enabling Self-Adaptation in Autonomous Robots;Pooyan Jamshidi, Javier Camara, Bradley Schmerl, Christian Kästner, David Garlan;Long paper;SEAMS;2019;;;
;OCCI-compliant, fully causal-connected architecture runtime models supporting sensor management;Johannes Erbel, Thomas Brand, Holger Giese, Jens Grabowski;Artifact paper;SEAMS;2019;;;
;On Learning in Collective Self-adaptive Systems: State of Practice and a 3D Framework;Mirko D'Angelo, Simos Gerasimou, Sona Ghahremani, Johannes Grohmann, Ingrid Nunes, Evangelos Pournaras, Sven Tomforde;Long paper;SEAMS;2019;;;
;On the Practical Feasibility of Software Monitoring: a Framework for Low-impact Execution Tracing;Jhonny Mertz, Ingrid Nunes;Long paper;SEAMS;2019;;;
;PiStarGODA-MDP: A Goal-Oriented Framework to Support Assurances Provision;Gabriela Félix Solano, Ricardo Caldas, Genaina Rodrigues, Thomas Vogel, Patrizio Pelliccione;Artifact paper;SEAMS;2019;;;
;Self-Adaptation in Mobile Apps: a Systematic Literature Study;Eoin Grua, Ivano Malavolta, Patricia Lago;Long paper;SEAMS;2019;;;
;Taming Uncertainty in the Assurance Process of Self-Adaptive Systems: a Goal-Oriented Approach;Gabriela Félix Solano, Ricardo Caldas, Genaína Nunes Rodrigues, Thomas Vogel, Patrizio Pelliccione;Artifact paper;SEAMS;2019;;;
;Towards Secure Architectural Adaptation;Narges Khakpour, Charilaos Skandylas, Goran Saman Nariman, Danny Weyns;Long paper;SEAMS;2019;;;
;TRAPPed in Traffic? A Self-Adaptive Framework for Decentralized Traffic Optimization;Ilias Gerostathopoulos, Evangelos Pournaras;Artifact paper;SEAMS;2019;;;
;Won't Take No for an Answer: Resource-driven Requirements Adaptation;Amel Bennaceur, Andrea Zisman, Ciaran Mccormick, Danny Barthaud, Bashar Nuseibeh;Long paper;SEAMS;2019;;;
;Adapting a System with Noisy Outputs with Statistical Guarantees;Ilias Gerostathopoulos, Christian Prehofer, Tomas Bures;Long paper;SEAMS;2018;;;
;A Learning Approach to Enhance Assurances for Real-Time Self-Adaptive Systems;Arthur Rodrigues, Ricardo Caldas, Genaina Rodrigues, Thomas Vogel, Patrizio Pelliccione;Long paper;SEAMS;2018;;;
;Cleaning Up the Mess: a Formal Framework for Autonomously Reverting BDI Agent Actions;João Faccin, Ingrid Nunes;Long paper;SEAMS;2018;;;
;Compositional Verification of Self-Adaptive Cyber-Physical Systems;"Aimee Borda, Liliana Pasquale, Vasileios Koutavas, Bashar Nuseibeh
";Long paper;SEAMS;2018;;;
;Defining, Enforcing and Checking Privacy Policies In Data-Intensive Applications;Michele Guerriero, Damian Andrew Tamburri, Elisabetta Di Nitto;Long paper;SEAMS;2018;;;
;Hybrid Adaptation Policies – Towards a Framework for Classification and Modelling of Different Combinations of Adaptation Policies;Frank Trollmann, Johannes Fähndrich, Sahin Albayrak;Long paper;SEAMS;2018;;;
;K8-Scalar: a workbench to compare autoscalers for container-orchestrated database clusters;Wito Delnat, Eddy Truyen, Ansar Rafique, Dimitri Van Landuyt, Wouter Joosen;Artifact paper;SEAMS;2018;;;
;Learning Non-Deterministic Impact Models for Adaptation;Francisco Duarte, Richard Gil, Paolo Romano, Antónia Lopes, Luis Rodrigues;Long paper;SEAMS;2018;;;
;Managing Uncertainty in Self-Adaptive Systems with Plan Reuse and Stochastic Search;Cody Kinneer, Zack Coker, Jiacheng Wang, David Garlan, Claire Le Goues;Long paper;SEAMS;2018;;;
;mRUBiS: An Exemplar for Model-Based Architectural Self-Healing and Self-Optimization;Thomas Vogel;Artifact paper;SEAMS;2018;;;
;Prototyping Self-managed Interdependent Networks - Self-healing Synergies against Cascading Failures;Evangelos Pournaras, Mark Ballandies, Dinesh Acharya, Manish Thapa, Ben-Elias Brandt;Long paper;SEAMS;2018;;;
;Requirements and Specifications for Adaptive Security: Concepts and Analysis;Thein Tun, Mu Yang, Arosha K Bandara, Yijun Yu, Armstrong Nhlabatsi, Niamul Khan, Khaled Khan, Bashar Nuseibeh;Long paper;SEAMS;2018;;;
;SWIM: An Exemplar for Evaluation and Comparison of Self-Adaptation Approaches for Web Applications;Gabriel A. Moreno, Bradley Schmerl, David Garlan;Artifact paper;SEAMS;2018;;;
;Toward Evaluating the Impact of Self-adaptation on Security Control Certification;Allen Marshall, Sharmin Jahan, Rose Gamble;Long paper;SEAMS;2018;;;
;Runtime Monitoring and Resolution of Probabilistic Obstacles to System Goals;Antoine Cailliau and Axel van Lamsweerde;Long paper;SEAMS;2017;;;
;"Handling New and Changing Requirements with Guarantees in Self-Adaptive Systems Using SimCA";Stepan Shevtsov, Danny Weyns, and Martina Maggio;Long paper;SEAMS;2017;;;
;"Lotus@Runtime: A Tool for Runtime Monitoring and Verification of Self-Adaptive Systems";Davi Monteiro Barbosa, Rômulo Gadelha De Moura Lima, Paulo Henrique Mendes Maia, and Evilásio Costa Junior;Artifact paper;SEAMS;2017;;;
;Transfer Learning for Improving Model Predictions in Highly Configurable Software;Pooyan Jamshidi, Miguel Velez, Christian Kästner, Norbert Siegmund, and Prasad Kawthekar;Long paper;SEAMS;2017;;;
;"Comparing Model-Based Predictive Approaches to Self-Adaptation: CobRA and PLA ";Gabriel A. Moreno, Alessandro Vittorio Papadopoulos, Konstantinos Angelopoulos, Javier Cámara, and Bradley Schmerl;Long paper;SEAMS;2017;;;
;Self-Adaptive Learning in Decentralized Combinatorial Optimization—A Design Paradigm for Sharing Economies;Peter Pilgerstorfer and Evangelos Pournaras;Long paper;SEAMS;2017;;;
;Delivering Elastic Containerized Cloud Applications to Enable DevOps ;"Cornel Barna, Hamzeh Khazaei, Marios Fokaefs, and Marin Litoiu 
";Long paper;SEAMS;2017;;;
;DeltaIoT: A Self-Adaptive Internet of Things Exemplar ;Muhammad Usman Iftikhar, Gowri Sankar Ramachandran, Pablo Bollansée, Danny Weyns, and Danny Hughes;Artifact paper;SEAMS;2017;;;
;"UNDERSEA: An Exemplar for Engineering Self-Adaptive Unmanned Underwater Vehicles ";Simos Gerasimou, Radu Calinescu, Stepan Shevtsov, and Danny Weyns ;Artifact paper;SEAMS;2017;;;
;Decision-Making with Cross-Entropy for Self-Adaptation ;Gabriel A. Moreno, Ofer Strichman, Sagar Chaki, and Radislav Vaisman;Long paper;SEAMS;2017;;;
;Self-Adaptation Based on Big Data Analytics: A Model Problem and Tool ;Sanny Schmid, Ilias Gerostathopoulos, Christian Prehofer, and Tomas Bures;Artifact paper;SEAMS;2017;;;
;"Intelligent Ensembles—A Declarative Group Description Language and Java Framework ";"Filip Krijt, Zbynek Jiracek, Tomas Bures, Petr Hnetynka, and Ilias Gerostathopoulos";Artifact paper;SEAMS;2017;;;
;Self-Adaptive Video Encoder: Comparison of Multiple Adaptation Strategies Made Simple;Martina Maggio, Alessandro Vittorio Papadopoulos, Antonio Filieri, and Henry Hoffmann;Artifact paper;SEAMS;2017;;;
;Extending Dynamic Software Product Lines with Temporal Constraints ;Gustavo Sousa, Walter Rudametkin, and Laurence Duchien ;Long paper;SEAMS;2017;;;
;Quality-Aware Runtime Adaptation in Complex Event Processing;Pascal Weisenburger, Manisha Luthra, Boris Koldehofe, and Guido Salvaneschi;Long paper;SEAMS;2017;;;
;Formal Verification of Dynamic Evolution Processes of UML Models Using Aspects ;Yasuyuki Tahara, Akihiko Ohsuga, and Shinichi Honiden;Long paper;SEAMS;2017;;;
;Improving Human-in-the-Loop Adaptive Systems Using Brain-Computer Interaction ;Eric Lloyd, Shihong Huang, and Emmanuelle Tognoli ;Artifact paper;SEAMS;2017;;;
;"Hadoop-Benchmark: Rapid Prototyping and Evaluation of Self-Adaptive Behaviors in Hadoop Clusters ";Bo Zhang, Filip Křikava, Romain Rouvoy, and Lionel Seinturier ;Artifact paper;SEAMS;2017;;;
;Policy Enforcement with Proactive Libraries ;Oliviero Riganelli, Daniela Micucci, and Leonardo Mariani ;Long paper;SEAMS;2017;;;
;Self-Adaptive Role-Based Access Control for Business Processes ;"Carlos Eduardo da Silva, José Diego Saraiva da Silva, Colin Paterson, and Radu Calinescu";Long paper;SEAMS;2017;;;
;Runtime Controller Synthesis for Self-Adaptation: Be Discrete! ;Sebastian Uchitel, Victor A. Braberman, and Nicolas D’Ippolito;;SEAMS;2016;;;
;Reusable Self-Adaptation through Bidirectional Programming ;Kevin Colson, Robin Dupuis, Lionel Montrieux, Zhenjiang Hu, Sebastian Uchitel, and Pierre-Yves Schobbens;;SEAMS;2016;;;
;Data-Driven Continuous Evolution of Smart Systems ;Jan Bosch and Helena Holmström Olsson;;SEAMS;2016;;;
;Model Predictive Control for Software Systems with CobRA;"Konstantinos Angelopoulos, Alessandro V. Papadopoulos, Vítor E. Silva Souza, and John Mylopoulos";;SEAMS;2016;;;
;Privacy Dynamics: Learning Privacy Norms for Social Software ;Gul Calikli, Mark Law, Arosha K. Bandara, Alessandra Russo, Luke Dickens, Blaine A. Price, Avelie Stuart, Mark Levine, and Bashar Nuseibeh ;;SEAMS;2016;;;
;TARL: Modeling Topology Adaptations for Networking Applications ;Michael Stein, Alexander Frömmgen, Roland Kluge, Frank Löffler, Andy Schürr, Alejandro Buchmann, and Max Mühlhäuser;;SEAMS;2016;;;
;Adapting Heterogeneous Devices into an IoT Context-Aware Infrastructure ;Henrique Brittes Pötter and Alexandre Sztajnberg ;;SEAMS;2016;;;
;Self-Adaptation for Cyber-Physical Systems: A Systematic Literature Review ;Henry Muccini, Mohammad Sharaf, and Danny Weyns;;SEAMS;2016;;;
;Model Problem and Testbed for Experiments with Adaptation in Smart Cyber-Physical Systems ;Vladimir Matena, Tomas Bures, Ilias Gerostathopoulos,and Petr Hnetynka;;SEAMS;2016;;;
;Feed Me, Feed Me: An Exemplar for Engineering Adaptive Software ;Amel Bennaceur, Ciaran McCormick, Jesús García-Galán, Charith Perera, Andrew Smith, Andrea Zisman, and Bashar Nuseibeh;;SEAMS;2016;;;
;Assured and Correct Dynamic Update of Controllers;Leandro Nahabedian, Victor Braberman, Nicolas D’Ippolito, Shinichi Honiden, Jeff Kramer, Kenji Tei, and Sebastian Uchitel;;SEAMS;2016;;;
;Towards Adaptive Compliance ;Jesús García-Galán, Liliana Pasquale, George Grispos, and Bashar Nuseibeh ;;SEAMS;2016;;;
;Using Dynamic Adaptive Systems in Safety-Critical Domains ;Ethan T. McGee and John D. McGregor;;SEAMS;2016;;;
;Clonal Plasticity: A Method for Decentralized Adaptation in Multi-agent Systems ;Vivek Nallur, Nicolás Cardozo, and Siobhán Clarke;;SEAMS;2016;;;
;Economics-Driven Resource Scalability on the Cloud ;Marios Fokaefs, Cornel Barna, and Marin Litoiu ;;SEAMS;2016;;;
;Symbolic Performance Adaptation ;Emilio Incerto, Mirco Tribastone, and Catia Trubiani;;SEAMS;2016;;;
;"Evolving Multi-tenant SaaS Applications through Self-Adaptive Upgrade Enactment and Tenant Mediation";Fatih Gey, Dimitri Van Landuyt, and Wouter Joosen ;;SEAMS;2016;;;
;Learning and Evolution in Dynamic Software Product Lines;"Amir Molzam Sharifloo, Andreas Metzger, Clément Quinton, Luciano Baresi, and Klaus Pohl 
";;SEAMS;2016;;;
;From Means-End Analysis to Proactive Means-End Reasoning ;Luca Sabatucci, Massimo Cossentino;;SEAMS;2015;;;
;Modeling and Analyzing MAPE-K Feedback Loops for Self-Adaptation;Paolo Arcaini, Elvinia Riccobene, Patrizia Scandurra;;SEAMS;2015;;;
;AC-Contract: Run-Time Verification of Context-Aware Applications;Marina Mongiello, Patrizio Pelliccione, Massimo Sciancalepore;;SEAMS;2015;;;
;Towards an Autonomic Auto-scaling Prediction System for Cloud Resource Provisioning;Ali Yadavar Nikravesh, Samuel A. Ajila, Chung—Horng Lung;;SEAMS;2015;;;
;BUNGEE: An Elasticity Benchmark for Self-Adaptive IaaS Cloud Environments;Nikolas Roman Herbst, Samuel Kounev, Andreas Weber, Henning Groenda;;SEAMS;2015;;;
;Dynamically Evolving the Structural Variability of Dynamic Software Product Lines;Luciano Baresi, Clément Quinton;;SEAMS;2015;;;
;Adaptive Exchange of Distributed Partial Models@run.time for Highly Dynamic Systems;Sebastian Götz, Ilias Gerostathopoulos, Filip Krikava, Adnan Shahzada, Romina Spalazzese;;SEAMS;2015;;;
;Software Engineering Meets Control Theory;"Antonio Filieri, Martina Maggio, Konstantinos Angelopoulos, Nicolas D'Ippolito, Ilias Gerostathopoulos, Andreas Berndt Hempel, Henry Hoffmann, Pooyan Jamshidi, 
Evangelia Kalyvianaki, Cristian Klein, Filip Krikava, Sasa Misailovic, Alessandro Vittorio Papadopoulos, Suprio Ray, Amir M. Sharifloo, Stepan Shevtsov, Mateusz Ujma, Thomas Vogel";;SEAMS;2015;;;
;Hogna: A Platform for Self-Adaptive Applications in Cloud Environments;Cornel Barna, Hamoun Ghanbari, Marin Litoiu, Mark Shtern;Artifact paper;SEAMS;2015;;;
;Tele Assistance: A Self-Adaptive Service-Based System Exemplar;Danny Weyns, Radu Calinescu;Artifact paper;SEAMS;2015;;;
;"An Architecture Framework for Experimentations with Self-Adaptive Cyber-physical Systems";Michal Kit, Ilias Gerostathopoulos, Tomas Bures, Petr Hnetynka, Frantisek Plasil;Artifact paper;SEAMS;2015;;;
;Mitigating Browser Fingerprint Tracking: Multi-level Reconfiguration and Diversification;Pierre Laperdrix, Walter Rudametkin, Benoit Baudry;;SEAMS;2015;;;
;Modeling and Extracting Load Intensity Profiles;Jóakim von Kistowski, Nikolas Herbst, Daniel Zoller, Samuel Kounev, Andreas Hotho;;SEAMS;2015;;;
;Adaptive Management of Energy Consumption Using Adaptive Runtime Models;Andreas Bergen, Nina Taherimakhsousi, Hausi A. Müller;;SEAMS;2015;;;
;Adaptive Run-Time Models for Groups of Autonomous Robots;Stefan Niemczyk, Kurt Geihs;;SEAMS;2015;;;
;Minimizing Nasty Surprises with Better Informed Decision-Making in Self-Adaptive Systems;Sara Hassan, Nelly Bencomo, Rami Bahsoon;;SEAMS;2015;;;
;Reasoning about Human Participation in Self-Adaptive Systems;Javier Cámara, Gabriel Moreno, David Garlan;;SEAMS;2015;;;
;Automated Generation of Adaptive Test Plans for Self-Adaptive Systems;Erik M. Fredericks, Betty H. C. Cheng;;SEAMS;2015;;;
;SASS: Self-Adaptation Using Stochastic Search;Zack Coker, David Garlan, Claire Le Goues;;SEAMS;2015;;;
;Designing Search Based Adaptive Systems, a Quantitative Approach;Parisa Zoghi, Mark Shtern and Marin Litoiu;;SEAMS;2014;;;
;Towards Run-time Adaptation of Test Cases for Self-Adaptive Systems in the Face of Uncertainty;Erik M. Fredericks, Byron Devries and Betty H. C. Cheng;;SEAMS;2014;;;
;Automated Mining of Software Component Interactions for Self-Adaptation;Eric Yuan, Naeem Esfahani and Sam Malek;;SEAMS;2014;;;
;Modelling and Analysing Contextual Failures for Dependability Requirements;Danilo Mendonça, Raian Ali and Genaína Rodrigues;;SEAMS;2014;;;
;User-centric Adaptation of Multi-tenant Services: Preference-based Analysis for Service Reconfiguration;Jesús García Galán, Liliana Pasquale, Pablo Trinidad and Antonio Ruiz-Cortés;;SEAMS;2014;;;
;Diagnosing Unobserved Components in Self-Adaptive Systems;Paulo Casanova, David Garlan, Bradley Schmerl and Rui Abreu;;SEAMS;2014;;;
;Symbiotic and Sensitivity-Aware Architecture for Globally-Optimal Benefit in Self-Adaptive Cloud;Tao Chen and Rami Bahsoon;;SEAMS;2014;;;
;Autonomic Resource Provisioning for Cloud-Based Software;Pooyan Jamshidi, Aakash Ahmad and Claus Pahl;;SEAMS;2014;;;
;A Computational Field Framework for Collaborative Task Execution in Volunteer Clouds;Stefano Sebastio, Michele Amoretti and Alberto Lluch Lafuente;;SEAMS;2014;;;
;Efficient Runtime Quantitative Verification Using Caching, Lookahead and Nearly-Optimal Reconfiguration;Simos Gerasimou, Radu Calinescu and Alec Banks;;SEAMS;2014;;;
;ActivFORMS: Active Formal Models for Self-Adaptation;Muhammad Usman Iftikhar and Danny Weyns;;SEAMS;2014;;;
