ID;Observation;Title;Author;DOI/ISBN;Type paper;Application Domain;Type System;Type problem;Venue;Year;Description;Total observations;HRD;What;Type;How;X;Y;Z;N
33;33.4;A Mutual Influence Detection Algorithm for Systems with Local Performance Measurement;S. Rudolph, S. Tomforde, B. Sick and J. Hähner;10.1109/SASO.2015.23;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;SASO;2015;An algorithm to detect influences caused by local neighborship relations applied to a smart camera network;8;An observation of the pan tilt influence on cameras. The X-axis displays the number of steps. The Y-axis displays the influence.;Performance;Observation;Line;Time;Score;;2
41;41.1;An adaptive error control approach for reliable industrial automation networks;T. Karimireddy and S. Zhang;10.1109/IConAC.2016.7604913;;IT Infrastructure;Quality/security;Error Detection/Security;ICAC;2016;ASM-HARQ - an adaptive error control approach to satisfy strict reliability requirements of industrial automation control applications;3;A comparison between two different error control approaches. The X-axis displays the bit error rate. The Y-axis displays the packet delivery ratio.;Performance;Comparison;Line;Amount;Percentage;;1
41;41.2;An adaptive error control approach for reliable industrial automation networks;T. Karimireddy and S. Zhang;10.1109/IConAC.2016.7604913;;IT Infrastructure;Quality/security;Error Detection/Security;ICAC;2016;ASM-HARQ - an adaptive error control approach to satisfy strict reliability requirements of industrial automation control applications;3;A comparison between two different error control approaches. The X-axis displays the bit error rate. The Y-axis displays the packet error rate;Performance;Comparison;Line;Amount;Amount;;1
41;41.3;An adaptive error control approach for reliable industrial automation networks;T. Karimireddy and S. Zhang;10.1109/IConAC.2016.7604913;;IT Infrastructure;Quality/security;Error Detection/Security;ICAC;2016;ASM-HARQ - an adaptive error control approach to satisfy strict reliability requirements of industrial automation control applications;3;A comparison between two different error control approaches. The X-axis displays the simulation time in seconds. The Y-axis displays the number of packets transmitted.;Performance;Comparison;Line;Amount;Amount;;1
55;55.1;Resource Adaptation via Test-Based Software Minimization;A. Christi, A. Groce and R. Gopinath;10.1109/SASO.2017.15;;IT Infrastructure;Automation;Environment Adaptation;SASO;2017;A tool for computing adaptations in changing resource environments;5;A comparison of different runs and an adaptive IDE. The X-axis displays the time in seconds. The Y-axis displays the memory usage;Performance;Comparison;Line;Time;Resource;;5
57;57.1;Self-Adaptive Learning in Decentralized Combinatorial Optimization—A Design Paradigm for Sharing Economies;Peter Pilgerstorfer and Evangelos Pournaras;10.1109/SEAMS.2017.8;Long paper;IT Infrastructure;AI;Performance Optimization;SEAMS;2017;I-EPOS - a generic self-adaptive learning algorithm for fully decentralized combinatorial optimization;6;An observation of the sharing performance. The X-axis displays the average likelihood. The Y-axis displays the variance;Performance;Observation;Line;Average;Score;;1
57;57.2;Self-Adaptive Learning in Decentralized Combinatorial Optimization—A Design Paradigm for Sharing Economies;Peter Pilgerstorfer and Evangelos Pournaras;10.1109/SEAMS.2017.8;Long paper;IT Infrastructure;AI;Performance Optimization;SEAMS;2017;I-EPOS - a generic self-adaptive learning algorithm for fully decentralized combinatorial optimization;6;A comparison of global cost. The X-axis displays the iteration. The Y-axis displays the number of changes;Performance;Comparison;Line;Amount;Amount;;1
57;57.3;Self-Adaptive Learning in Decentralized Combinatorial Optimization—A Design Paradigm for Sharing Economies;Peter Pilgerstorfer and Evangelos Pournaras;10.1109/SEAMS.2017.8;Long paper;IT Infrastructure;AI;Performance Optimization;SEAMS;2017;I-EPOS - a generic self-adaptive learning algorithm for fully decentralized combinatorial optimization;6;A comparison of different shift times. The X-axis displays the average shift in minutes. The Y-axis displays the peak demand in kiloWatts;Performance;Comparison;Line;Time;Resource;;4
59;59.1;Compositional Blocks for Optimal Self-Healing Gradients;G. Audrito, R. Casadei, F. Damiani and M. Viroli;10.1109/SASO.2017.18;;IT Infrastructure;Automation;System Configuration;SASO;2017;SVD - a new adaptive gradient algorithm to improve reaction speed in mobile environments;13;A comparison of different variability and algorithms. The X-axis displays the length. The Y-axis displays the error;Performance;Comparison;Line;Amount;Score;;6
59;59.2;Compositional Blocks for Optimal Self-Healing Gradients;G. Audrito, R. Casadei, F. Damiani and M. Viroli;10.1109/SASO.2017.18;;IT Infrastructure;Automation;System Configuration;SASO;2017;SVD - a new adaptive gradient algorithm to improve reaction speed in mobile environments;13;A comparison of different gradient algorithms. The X-axis displays the variability. The Y-axis displays the value;Performance;Comparison;Line;Score;Score;;1
59;59.3;Compositional Blocks for Optimal Self-Healing Gradients;G. Audrito, R. Casadei, F. Damiani and M. Viroli;10.1109/SASO.2017.18;;IT Infrastructure;Automation;System Configuration;SASO;2017;SVD - a new adaptive gradient algorithm to improve reaction speed in mobile environments;13;A comparison of different gradient algorithms. The X-axis displays the time. The Y-axis displays the stability.;Performance;Comparison;Line;Time;Score;;6
61;61.1;Adaptive Process Migrations in Coupled Applications for Exchanging Data in Local File Cache;Jianwei Liao, Zhigang Cai, Francois Trahay, Jun Zhou, and Guoqiang Xiao;10.1145/3226027;;IT Infrastructure;Automation;Performance Optimization;TAAS;2018;A new mechanism using block access similarity in two processes to effectively use local file cache for data exchange between processes in file systems;9;A comparison of different migration schemes. The X-axis displays the number of processes. The Y-axis displays the IO data throughput in Megabytes per second.;Performance;Comparison;Line;Amount;Resource;;6
61;61.2;Adaptive Process Migrations in Coupled Applications for Exchanging Data in Local File Cache;Jianwei Liao, Zhigang Cai, Francois Trahay, Jun Zhou, and Guoqiang Xiao;10.1145/3226027;;IT Infrastructure;Automation;Performance Optimization;TAAS;2018;A new mechanism using block access similarity in two processes to effectively use local file cache for data exchange between processes in file systems;9;A comparison of different read operation types. The X-axis displays the type of operation. The X-axis displays the number of kappa-based assessments.;Performance;Comparison;Bar;Amount;Time;;3
63;63.1;SimCA*: A Control-theoretic Approach to Handle Uncertainty in Self-adaptive Systems with Guarantees;Stepan Shevtsov, Danny Weyns, and Martina Maggio;10.1145/3328730;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;TAAS;2018;SimCA* - Control-theoretic approach to handle uncertainty;34;An observation of different control theories. The X-axis displays the time. The Y-axis displays a percentage of resource used.;Performance;Observation;Line;Time;Resource;;2
63;63.2;SimCA*: A Control-theoretic Approach to Handle Uncertainty in Self-adaptive Systems with Guarantees;Stepan Shevtsov, Danny Weyns, and Martina Maggio;10.1145/3328730;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;TAAS;2018;SimCA* - Control-theoretic approach to handle uncertainty;34;An observation of different control theories. The X-axis displays the time. The Y-axis displays a percentage of resource used.;Performance;Observation;Line;Time;Percentage;;6
63;63.3;SimCA*: A Control-theoretic Approach to Handle Uncertainty in Self-adaptive Systems with Guarantees;Stepan Shevtsov, Danny Weyns, and Martina Maggio;10.1145/3328730;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;TAAS;2018;SimCA* - Control-theoretic approach to handle uncertainty;34;An observation of different control theories. The X-axis displays the time. The Y-axis displays a percentage of resource used.;Performance;Observation;Line;Amount;Percentage;;26
70;70.1;Risk-Based Testing of Self-Adaptive Systems Using Run-Time Predictions;A. Reichstaller and A. Knapp;10.1109/SASO.2018.00019;;IT Infrastructure;Quality/security;Error Detection/Security;SASO;2018;A framework that autonomously finds good test strategies using imposed quantifiable goals;4;A comparison of different testers. The X-axis displays the time in test steps. The Y-axis displays the number of revealed faults;Performance;Comparison;Line;Time;Amount;;4
86;86.1;Hierarchical Scaling of Microservices in Kubernetes;Fabiana Rossi, Valeria Cardellini and Francesco Lo Presti;10.1109/ACSOS49614.2020.00023;Long paper;IT Infrastructure;Automation;Performance Optimization;ACSOS;2020;Me-kube - a Kubernetes extension that introduces a hierarchical architecture for controlling the elasticity of microservice-based applications;11;An observation of runtime predictions. The X-axis displays the time in minutes. The Y-axis displays the absolute error rate in requests;Performance;Observation;Line;Time;Amount;;2
86;86.2;Hierarchical Scaling of Microservices in Kubernetes;Fabiana Rossi, Valeria Cardellini and Francesco Lo Presti;10.1109/ACSOS49614.2020.00023;Long paper;IT Infrastructure;Automation;Performance Optimization;ACSOS;2020;Me-kube - a Kubernetes extension that introduces a hierarchical architecture for controlling the elasticity of microservice-based applications;11;A comparison of different scalers. The X-axis displays the time in minutes. The Y-axis displays the number of pods;Performance;Comparison;Line;Time;Amount;;9
87;87.1;An Ontological Architecture for Principled and Automated System of Systems Composition;Abdessalam Elhabbash, Vatsala Nundloll, Yehia Elkhatib, Gordon Blair, Vicent Sanz Marco;10.1145/3387939.3391602;Technical paper;IT Infrastructure;Automation;System Configuration;SEAMS;2020;General ontology-based approach to describe distributed systems to achieve abstraction and enable runtime reasoning between systems;1;An observation of parsing times. The X-axis displays the amount of services. The Y-axis displays the parsing time in seconds;Performance;Observation;Line;Time;Time;;1
89;89.1;REACT-ION: A Model-based Runtime Environment for Situation-aware Adaptations;Martin Pfannemüller, Martin Breitbach, Markus Weckesser, Christian Becker, Bradley Schmerl, Andy Schürr, and Christian Krupitzer;10.1145/3487919;;IT Infrastructure;Automation;Environment Adaptation;TAAS;2020;REACT-ION - an extension of REACT for situation awareness using a context management module;6;A comparison of two runtime environments. The X-axis displays the task. The Y-axis displays the runtime in milliseconds;Performance;Comparison;Bar;Type;Time;;1
89;89.2;REACT-ION: A Model-based Runtime Environment for Situation-aware Adaptations;Martin Pfannemüller, Martin Breitbach, Markus Weckesser, Christian Becker, Bradley Schmerl, Andy Schürr, and Christian Krupitzer;10.1145/3487919;;IT Infrastructure;Automation;Environment Adaptation;TAAS;2020;REACT-ION - an extension of REACT for situation awareness using a context management module;6;An observation of energy consumption. The X-axis displays the time in minutes. The Y-axis displays the Watts used.;Performance;Observation;Line;Time;Resource;;1
89;89.3;REACT-ION: A Model-based Runtime Environment for Situation-aware Adaptations;Martin Pfannemüller, Martin Breitbach, Markus Weckesser, Christian Becker, Bradley Schmerl, Andy Schürr, and Christian Krupitzer;10.1145/3487919;;IT Infrastructure;Automation;Environment Adaptation;TAAS;2020;REACT-ION - an extension of REACT for situation awareness using a context management module;6;A comparison of different feedback loop types. The X-axis displays the type. The Y-axis displays the utility;Performance;Comparison;Box;Type;Amount;;4
90;90.1;SARDE: A Framework for Continuous and Self-Adaptive Resource Demand Estimation;Johannes Grohmann, Simon Eismann, André Bauer, Simon Spinner, Johannes Blum, Nikolas Herbst, and Samuel Kounev;10.1145/3463369;;IT Infrastructure;AI;Performance Optimization;TAAS;2020;SARDE - a framework for self-adaptive resource demand estimation in continuous environments;4;A comparison of algorithms. The X-axis displays the time in seconds. The Y-axis displays the estimation error ;Performance;Comparison;Line;Time;Percentage;;3
90;90.2;SARDE: A Framework for Continuous and Self-Adaptive Resource Demand Estimation;Johannes Grohmann, Simon Eismann, André Bauer, Simon Spinner, Johannes Blum, Nikolas Herbst, and Samuel Kounev;10.1145/3463369;;IT Infrastructure;AI;Performance Optimization;TAAS;2020;SARDE - a framework for self-adaptive resource demand estimation in continuous environments;4;An observation of throughput. The X-axis displays the time in seconds. The Y-axis displays the number of requests per second;Performance;Observation;Line;Time;Amount;;1
92;92.1;A Meta Reinforcement Learning-based Approach for Self-Adaptive System;Mingyue Zhang, Jialong Li, Haiyan Zhao, Kenji Tei, Shinichi Honiden and Zhi Jin;10.1109/ACSOS52086.2021.00024;Long paper;IT Infrastructure;AI;Performance Optimization;ACSOS;2021;A novel approach to engineer online adaption of self-learning adaptive systems focusing on adaptation policy and meta-reinforcement;16;A comparison of different parameters. The X-axis displays the number of tasks. The Y-axis displays the gradient step;Performance;Comparison;Heatmap;Amount;Score;;6
92;92.2;A Meta Reinforcement Learning-based Approach for Self-Adaptive System;Mingyue Zhang, Jialong Li, Haiyan Zhao, Kenji Tei, Shinichi Honiden and Zhi Jin;10.1109/ACSOS52086.2021.00024;Long paper;IT Infrastructure;AI;Performance Optimization;ACSOS;2021;A novel approach to engineer online adaption of self-learning adaptive systems focusing on adaptation policy and meta-reinforcement;16;A comparison of planning algorithms. The X-axis displays the type. The Y-axis displays the mean reward;Performance;Comparison;Bar;Type;Average;;1
92;92.3;A Meta Reinforcement Learning-based Approach for Self-Adaptive System;Mingyue Zhang, Jialong Li, Haiyan Zhao, Kenji Tei, Shinichi Honiden and Zhi Jin;10.1109/ACSOS52086.2021.00024;Long paper;IT Infrastructure;AI;Performance Optimization;ACSOS;2021;A novel approach to engineer online adaption of self-learning adaptive systems focusing on adaptation policy and meta-reinforcement;16;A comparison of planning algorithms. The X-axis displays the type. The Y-axis displays the replanning time in seconds;Performance;Comparison;Bar;Type;Time;;1
92;92.4;A Meta Reinforcement Learning-based Approach for Self-Adaptive System;Mingyue Zhang, Jialong Li, Haiyan Zhao, Kenji Tei, Shinichi Honiden and Zhi Jin;10.1109/ACSOS52086.2021.00024;Long paper;IT Infrastructure;AI;Performance Optimization;ACSOS;2021;A novel approach to engineer online adaption of self-learning adaptive systems focusing on adaptation policy and meta-reinforcement;16;A comparison of different adaptability policies. The X-axis displays the gradient step. The Y-axis displays the mean reward;Performance;Comparison;Line;Score;Average;;8
99;99.1;Dynamic Evaluation of Microservice Granularity Adaptation;Sara Hassan, Rami Bahsoon, Leandro Minku, and Nour Ali;10.1145/3502724;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;TAAS;2021;A novel formulation of decision problems to achieve granularity adaptation as s real options problem;5;An observation of workload. The X-axis displays the time. The Y-axis displays the invocation duration;Performance;Comparison;Line;Time;Time;;1
99;99.2;Dynamic Evaluation of Microservice Granularity Adaptation;Sara Hassan, Rami Bahsoon, Leandro Minku, and Nour Ali;10.1145/3502724;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;TAAS;2021;A novel formulation of decision problems to achieve granularity adaptation as s real options problem;5;An observation of process output. The X-axis displays the runtime iteration. The Y-axis displays the total real option value;Performance;Observation;Line;Iteration;Cost;;4
100;100.1;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;10.1109/ACSOS52086.2021.00022;Long paper;IT Infrastructure;Automation;System Configuration;ACSOS;2021;Performance overhead assessment of self-adaptive system architecture;6;A comparison of algorithms. The X-axis displays time in minutes. The Y-axis displays requests per second;Performance;Comparison;Line;Time;Rate;;1
100;100.2;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;10.1109/ACSOS52086.2021.00022;Long paper;IT Infrastructure;Automation;System Configuration;ACSOS;2021;Performance overhead assessment of self-adaptive system architecture;6;A comparison of algorithms. The X-axis displays time in minutes. The Y-axis displays the number of active servers;Performance;Comparison;Line;Time;Amount;;1
100;100.3;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;10.1109/ACSOS52086.2021.00022;Long paper;IT Infrastructure;Automation;System Configuration;ACSOS;2021;Performance overhead assessment of self-adaptive system architecture;6;A comparison of algorithms. The X-axis displays the time in minutes. The Y-axis displays the responsetime in milliseconds;Performance;Comparison;Line;Time;Time;;1
100;100.4;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;10.1109/ACSOS52086.2021.00022;Long paper;IT Infrastructure;Automation;System Configuration;ACSOS;2021;Performance overhead assessment of self-adaptive system architecture;6;A comparison of algorithms. The X-axis displays the time in minutes. The Y-axis displays the availability percentage;Performance;Comparison;Line;Time;Percentage;;1
100;100.5;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;10.1109/ACSOS52086.2021.00022;Long paper;IT Infrastructure;Automation;System Configuration;ACSOS;2021;Performance overhead assessment of self-adaptive system architecture;6;A comparison of different algorithms. The X-axis displays the type. The Y-axis displays the cpu usage;Performance;Comparison;Bar;Type;Resource;;1
100;100.6;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;10.1109/ACSOS52086.2021.00022;Long paper;IT Infrastructure;Automation;System Configuration;ACSOS;2021;Performance overhead assessment of self-adaptive system architecture;6;A comparison of algorithms. The X-axis displays the type. The Y-axis displays the memory usage in MB;Performance;Comparison;Bar;Type;Resource;;1
9;9.1;Realizing a Proactive, Self-Optimizing System Behavior within Adaptive, Heterogeneous Many-Core Architectures;D. Kramer and W. Karl;10.1109/SASO.2012.26;;Various;Automation;Performance Optimization;SASO;2012;Organic computing approach to create self-optimizing behavior within systems;5;An observation of a system switching between different states. The X-axis displays the time in millions of cycles. The Y-axis displays the various states.;Performance;Observation;Line;Time;State;;4
9;9.2;Realizing a Proactive, Self-Optimizing System Behavior within Adaptive, Heterogeneous Many-Core Architectures;D. Kramer and W. Karl;10.1109/SASO.2012.26;;Various;Automation;Performance Optimization;SASO;2012;Organic computing approach to create self-optimizing behavior within systems;5;An observation of fitness. The X-axis displays the number of learning steps. The Y-axis displays the fitness value. The green line displays the maximum value reached at a certain point;Performance;Observation;Line;Amount;Score;;1
22;22.1;Self-Adaptive Probabilistic Roadmap Generation for Intelligent Virtual Agents;K. Samperi, N. Bencomo and P. R. Lewis;10.1109/SASO.2014.25;;Various;Automation;Performance Optimization;SASO;2014;Self-adaptive approach which allows agents to combine several point selection methods to create maps depending on the environment;11;An observation of created maps. The X-axis displays a coordinate. The Y-axis displays a coordinate;State;Observation;Map;Position;Position;;11
30;30.1;Topological Aspects of Greedy Self-Organization;F. Ahmed and O. Tirkkonen;10.1109/SASO.2014.15;;Various;Management;Performance Optimization;SASO;2014;An investigation into greedy self-organization using agents to determine the value of configuration space variables;11;A observation of self-organization. All axes display a position.;State;Observation;3D planar;Position;Position;Position;8
30;30.2;Topological Aspects of Greedy Self-Organization;F. Ahmed and O. Tirkkonen;10.1109/SASO.2014.15;;Various;Management;Performance Optimization;SASO;2014;An investigation into greedy self-organization using agents to determine the value of configuration space variables;11;An observation of organization for different node amount. The X-axis displays the iteration. The Y-axis displays the degree of order for the nodes.;State;Observation;Line;Amount;Score;;1
30;30.3;Topological Aspects of Greedy Self-Organization;F. Ahmed and O. Tirkkonen;10.1109/SASO.2014.15;;Various;Management;Performance Optimization;SASO;2014;An investigation into greedy self-organization using agents to determine the value of configuration space variables;11;An observation of cost displayed for the L-gon nodes, bulk nodes and total nodes. The X-axis displays the closeness of all nodes. The Y-axis displays an unknown variable.;State;Observation;Line;Score;Score;;2
31;31.1;Adaptive Management of Energy Consumption Using Adaptive Runtime Models;Andreas Bergen, Nina Taherimakhsousi, Hausi A. Müller;10.1109/SEAMS.2015.20;;Various;Automation;Performance Optimization;SEAMS;2015;Adaptive feature extraction method to classify resource utilization patterns using energy consumption data;1;A comparison of different configurations. The X-axis displays the feature extracted data classification. The Y-axis displays the classification rate.;Performance;Comparison;Line;Amount;Percentage;;1
32;32.1;Grey-box identification for photovoltaic power systems via particle-swarm algorithm;N. Al-Messabi, C. Goh and Y. Li;10.1109/IConAC.2015.7313980;;Various;Analytics/Control/Monitoring;Performance Optimization;ICAC;2015;Clear box model creation and uncertain parameter identification using apriori knowledge of PV systems;5;A comparison of different models for PSO identification. The X-axis displays the iterations. The Y-axis displays the RMSE-train.;Performance;Comparison;Line;Amount;Score;;1
32;32.2;Grey-box identification for photovoltaic power systems via particle-swarm algorithm;N. Al-Messabi, C. Goh and Y. Li;10.1109/IConAC.2015.7313980;;Various;Analytics/Control/Monitoring;Performance Optimization;ICAC;2015;Clear box model creation and uncertain parameter identification using apriori knowledge of PV systems;5;A comparison of different models and their PV power. The X-axis displays the time in hours. The Y-axis displays the PV Power in kiloWatts;Performance;Comparison;Line;Time;Resource;;2
32;32.3;Grey-box identification for photovoltaic power systems via particle-swarm algorithm;N. Al-Messabi, C. Goh and Y. Li;10.1109/IConAC.2015.7313980;;Various;Analytics/Control/Monitoring;Performance Optimization;ICAC;2015;Clear box model creation and uncertain parameter identification using apriori knowledge of PV systems;5;A comparison between different models on their modelling error. The X-axis displays the time in hours. The Y-axis displays the error in modelling.;Performance;Comparison;Line;Time;Score;;2
34;34.1;Crowdsourcing through Cognitive Opportunistic Networks;Matteo Mordacchini, Andrea Passarella, Marco Conti, Stuart M. Allen, Martin J. Chorley, Gualtiero B. Colombo, Vlad Tanasescu, and Roger M. Whitaker;10.1145/2733379;;Various;AI;Environment Adaptation;TAAS;2015;An opportunistic networking model which allows mobile devices to map and tag their physical environment with location tags;27;A comparison between local and external node coverage. The X-axis displays the time. The Y-axis displays the hit ratio percentage;Performance;Comparison;Line;Time;Percentage;;21
34;34.2;Crowdsourcing through Cognitive Opportunistic Networks;Matteo Mordacchini, Andrea Passarella, Marco Conti, Stuart M. Allen, Martin J. Chorley, Gualtiero B. Colombo, Vlad Tanasescu, and Roger M. Whitaker;10.1145/2733379;;Various;AI;Environment Adaptation;TAAS;2015;An opportunistic networking model which allows mobile devices to map and tag their physical environment with location tags;27;An observation of degree distribution in the Semantic Associative Network with different cluster coefficients. The X-axis displays the degree. The Y-axis displays the Complementary Cumulative Distribution Function.;Performance;Observation;Line;Amount;Score;;6
37;37.1;Self-Organizational Reciprocal Agents for Conflict Avoidance in Allocation Problems;Y. Miyashita, M. Hayano and T. Sugawara;10.1109/SASO.2015.24;;Various;Automation;Performance Optimization;SASO;2015;Reciprocal agents that self-organize associations based on cooperative relationship for task and resource allocation problems in large multi-agent systems;7;A observation of different performances dependent on the number of agents. The X-axis displays the time in ticks. The Y-axis displays the number of associations;Performance;Observation;Line;Time;Amount;;1
